ID da variável,Nome,Data,Valor,fonte,observacao
3273,"Se sim, quais são os Conselhos Municipais regionalizados em bairros, distritos, subprefeituras ou regiões?"
3272,"Sua cidade tem Conselhos Municipais regionalizados (que estejam vinculados ao território e não à uma área temática específica, como saúde, educação e assistência) em bairros, distritos, subprefeituras ou regiões? Responder sim ou não"
311,Monto del presupuesto decidido de forma participativa del municipio
3233,"Se sim, o Programa de Metas está regulamentado na Lei Orgânica do Município? Responder sim ou não"
3218,"Se sim, quais são os órgãos de controle interno?"
3223,Todas as secretarias e órgãos análogos (ex. coordenadorias) têm conselho municipal? Responder sim ou não
3254,Sua cidade tem mecanismos de transparência ativa e passiva como preconiza a Lei de Acesso à Informação (LAI)? Responder sim ou não
290,Número total de pessoas com deficiência empregadas no governo
3261,"Se sim, quais são os  mecanismos de participação virtual da população (ex. e-governo, consultas públicas, enquetes, etc)?"
3217,Sua cidade tem controladoria e ou mecanismos de controle internos de combate à corrupção? Responder sim ou não
3241,Os Projetos de Lei de Iniciativa Popular elaborados na sua cidade foram aprovados pela Câmara Municipal? Responder sim ou não
314,Total de secretarias do governo
312,Monto del presupuesto total del municipio
3220,"Se sim, liste quais conferências foram realizadas."
3236,"Sua cidade regulamentou, na Lei Orgânica do Município, os mecanismos de Democracia Direta (Plebiscito, Referendo e Lei de Iniciativa Popular)? Responder sim ou não"
3238,"Se sim, quais foram os temas consultados à população via plebiscito e ou referendo?"
39,Total de funcionários do município
3260,"Sua cidade tem mecanismos de participação virtual da população (ex. e-governo, consultas públicas, enquetes, etc)? Responder sim ou não"
289,Número de negros empregados no governo do município
3246,"Se sim, quais são as adaptações de acessibilidade existentes nos espaços físicos de participação?"
3257,"Se sim, qual é a porcentagem de respostas atendidas (número de solicitações de informação respondidas dentro do prazo estabelecido a contento do solicitante) por pedidos de informação feitas via Lei de Acesso à Informação? "
3224,Liste as pastas que compreendem a prefeitura municipal (secretarias e coordenadorias) existentes.
3256,Sua cidade monitora as respostas às solicitações de informação feitas pela população via LAI? Responder sim ou não
